Settimana,monero
2017-08-27,10.15
2017-09-03,7.75
2017-09-10,7.13
2017-09-17,7.75
2017-09-24,6.82
2017-10-01,4.14
2017-10-08,4.6
2017-10-15,4.83
2017-10-22,4.14
2017-10-29,4.83
2017-11-05,13.94
2017-11-12,12.3
2017-11-19,14.76
2017-11-26,18.04
2017-12-03,89.0
2017-12-10,88.0
2017-12-17,100.0
2017-12-24,70.0
2017-12-31,91.5
2018-01-07,56.0
2018-01-14,42.7
2018-01-21,31.5
2018-01-28,31.5
2018-02-04,13.65
2018-02-11,12.95
2018-02-18,10.85
2018-02-25,11.2
2018-03-04,8.37
2018-03-11,7.83
2018-03-18,5.67
2018-03-25,5.67
2018-04-01,7.84
2018-04-08,8.68
2018-04-15,6.72
2018-04-22,6.72
2018-04-29,6.72
2018-05-06,3.23
2018-05-13,2.89
2018-05-20,2.55
2018-05-27,2.55
2018-06-03,1.8
2018-06-10,1.56
2018-06-17,1.44
2018-06-24,1.44
2018-07-01,1.0
2018-07-08,1.1
2018-07-15,1.1
2018-07-22,1.2
2018-07-29,1.1
2018-08-05,1.1
2018-08-12,1.21
2018-08-19,1.1
2018-08-26,1.43
2018-09-02,1.92
2018-09-09,1.44
2018-09-16,1.2
2018-09-23,1.2
2018-09-30,1.2
2018-10-07,0.9
2018-10-14,1.3
2018-10-21,1.2
2018-10-28,0.9
2018-11-04,0.81
2018-11-11,0.81
2018-11-18,0.81
2018-11-25,0.81
2018-12-02,0.64
2018-12-09,0.56
2018-12-16,0.64
2018-12-23,0.64
2018-12-30,3.08
2019-01-06,9.0
2019-01-13,5.31
2019-01-20,4.68
2019-01-27,4.59
2019-02-03,3.57
2019-02-10,3.64
2019-02-17,3.85
2019-02-24,3.85
2019-03-03,4.96
2019-03-10,5.44
2019-03-17,4.64
2019-03-24,3.76
2019-03-31,4.48
2019-04-07,3.71
2019-04-14,3.43
2019-04-21,3.29
2019-04-28,3.64
2019-05-05,4.32
2019-05-12,5.28
2019-05-19,4.64
2019-05-26,5.36
2019-06-02,5.04
2019-06-09,4.86
2019-06-16,6.12
2019-06-23,8.01
2019-06-30,6.03
2019-07-07,5.28
2019-07-14,4.72
2019-07-21,4.0
2019-07-28,3.84
2019-08-04,4.27
2019-08-11,3.78
2019-08-18,3.5
2019-08-25,3.85
2019-09-01,2.94
2019-09-08,2.94
2019-09-15,3.06
2019-09-22,3.12
2019-09-29,2.52
2019-10-06,2.76
2019-10-13,3.24
2019-10-20,3.06
2019-10-27,3.12
2019-11-03,3.71
2019-11-10,3.78
2019-11-17,3.78
2019-11-24,4.34
2019-12-01,4.8
2019-12-08,3.92
2019-12-15,4.56
2019-12-22,3.84
2019-12-29,3.68
2020-01-05,2.94
2020-01-12,2.59
2020-01-19,2.59
2020-01-26,2.52
2020-02-02,2.8
2020-02-09,3.08
2020-02-16,2.73
2020-02-23,2.38
2020-03-01,2.31
2020-03-08,2.59
2020-03-15,2.38
2020-03-22,2.38
2020-03-29,3.36
2020-04-05,3.92
2020-04-12,3.36
2020-04-19,3.28
2020-04-26,3.52
2020-05-03,3.6
2020-05-10,4.08
2020-05-17,3.84
2020-05-24,3.04
2020-05-31,3.12
2020-06-07,2.66
2020-06-14,2.52
2020-06-21,2.59
2020-06-28,2.17
2020-07-05,2.38
2020-07-12,2.52
2020-07-19,2.59
2020-07-26,2.87
2020-08-02,3.36
2020-08-09,3.04
2020-08-16,3.44
2020-08-23,3.52
2020-08-30,3.36
2020-09-06,4.24
2020-09-13,3.52
2020-09-20,2.96
2020-09-27,3.2
2020-10-04,2.8
2020-10-11,2.87
2020-10-18,3.36
2020-10-25,3.01
2020-11-01,3.87
2020-11-08,3.96
2020-11-15,4.14
2020-11-22,4.5
2020-11-29,4.14
2020-12-06,5.61
2020-12-13,9.46
2020-12-20,6.82
2020-12-27,9.07
2021-01-03,13.5
2021-01-10,12.24
2021-01-17,10.26
2021-01-24,9.18
2021-01-31,10.26
2021-02-07,16.59
2021-02-14,19.32
2021-02-21,16.59
2021-02-28,13.02
2021-03-07,10.03
2021-03-14,11.22
2021-03-21,9.69
2021-03-28,11.22
2021-04-04,15.64
2021-04-11,20.7
2021-04-18,22.54
2021-04-25,18.17
2021-05-02,22.32
2021-05-09,24.0
2021-05-16,22.8
2021-05-23,16.56
2021-05-30,14.64
2021-06-06,8.48
2021-06-13,8.48
2021-06-20,9.28
2021-06-27,8.64
2021-07-04,4.6
2021-07-11,3.8
2021-07-18,3.3
2021-07-25,4.0
2021-08-01,5.04
2021-08-08,4.8
2021-08-15,5.16
2021-08-22,6.0
2021-08-29,5.28
2021-09-05,4.84
2021-09-12,4.4
2021-09-19,4.4
2021-09-26,3.63
2021-10-03,4.29
2021-10-10,4.73
2021-10-17,4.62
2021-10-24,4.84
2021-10-31,4.73
2021-11-07,7.15
2021-11-14,7.67
2021-11-21,6.63
2021-11-28,5.98
2021-12-05,5.06
2021-12-12,4.62
2021-12-19,4.62
2021-12-26,6.93
2022-01-02,15.2
2022-01-09,14.24
2022-01-16,15.04
2022-01-23,14.4
2022-01-30,13.28
2022-02-06,12.04
2022-02-13,12.46
2022-02-20,11.76
2022-02-27,12.46
2022-03-06,13.3
2022-03-13,11.76
2022-03-20,10.92
2022-03-27,11.9
2022-04-03,12.75
2022-04-10,13.35
2022-04-17,15.0
2022-04-24,12.9
2022-05-01,11.06
2022-05-08,12.74
2022-05-15,10.92
2022-05-22,10.92
2022-05-29,9.38
2022-06-05,6.82
2022-06-12,8.47
2022-06-19,8.8
2022-06-26,6.82
2022-07-03,6.2
2022-07-10,6.3
2022-07-17,6.0
2022-07-24,5.9
2022-07-31,5.7
2022-08-07,6.3
2022-08-14,7.9
2022-08-21,6.1
2022-08-28,5.7
2022-09-04,4.59
2022-09-11,5.67
2022-09-18,5.76
2022-09-25,4.95
2022-10-02,3.71
2022-10-09,3.64
2022-10-16,3.5
2022-10-23,3.22
2022-10-30,3.01
2022-11-06,4.48
2022-11-13,4.8
2022-11-20,3.92
2022-11-27,4.24
2022-12-04,3.68
2022-12-11,4.0
2022-12-18,3.84
2022-12-25,3.28
2023-01-01,6.56
2023-01-08,6.4
2023-01-15,6.96
2023-01-22,6.32
2023-01-29,7.2
2023-02-05,5.25
2023-02-12,5.32
2023-02-19,5.18
2023-02-26,4.76
2023-03-05,4.9
2023-03-12,5.95
2023-03-19,5.88
2023-03-26,7.0
2023-04-02,5.53
2023-04-09,5.95
2023-04-16,6.16
2023-04-23,5.04
2023-04-30,4.97
2023-05-07,5.11
2023-05-14,4.76
2023-05-21,4.62
2023-05-28,5.18
2023-06-04,4.83
2023-06-11,5.18
2023-06-18,5.25
2023-06-25,6.02
2023-07-02,5.04
2023-07-09,5.6
2023-07-16,5.18
2023-07-23,5.32
2023-07-30,5.18
2023-08-06,5.25
2023-08-13,5.11
2023-08-20,5.32
2023-08-27,5.39
2023-09-03,5.11
2023-09-10,4.97
2023-09-17,5.18
2023-09-24,4.69
2023-10-01,4.9
2023-10-08,4.55
2023-10-15,4.55
2023-10-22,5.11
2023-10-29,5.25
2023-11-05,6.24
2023-11-12,6.32
2023-11-19,6.8
2023-11-26,6.48
2023-12-03,7.04
2023-12-10,6.16
2023-12-17,6.56
2023-12-24,6.64
2023-12-31,7.36
